object_name,schema_name,object_type,status,created_timestamp
adb_anlytc_hit,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:06
adb_anlytc_hit_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:07
adb_anlytc_hit_tgt,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:09
adb_anlytc_hit_tgt_tst,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:11
adb_anlytc_hit_tgt_xtrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:12
adb_arcinsms_report_intermediate,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:17
adb_arcregionchaptermapping,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:21
adb_bio_dnr_stsfctn_srvy,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:25
adb_enumrtn_lkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:27
adb_nmspropositionrcp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:37
adb_vlntr_srvy_rspns,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:50
adb_vlntr_srvy_rspns_tmp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:51
adb_vlntr_srvy_rspns_v20,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:53
adobe_analytics_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:57
adobe_analytics_visits,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:00:58
adobe_dwb_intrctn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:00
adobe_dwb_intrctn_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:02
adobe_dwb_intrctn_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:04
adobe_dwb_intrctn_stg_tmp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:05
adobe_dwb_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:07
adobe_dwb_txn_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:08
adobe_dwb_txn_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:10
agent,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:12
all_aem_rco_rows,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:14
aprm_wb_apnd_eml_trckng_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:01:44
arc_aem_rco_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:12
arc_biomed_smry_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:15
arc_biomed_txn_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:19
arc_biomed_txn_ext_staff,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:20
arc_biomed_txn_ext_staff_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:22
arc_cdi_smry_addr_tmp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:24
arc_cdi_smry_email_tmp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:25
arc_cdi_smry_extrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:27
arc_cdi_smry_phn_tmp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:29
arc_crm_ent_infrd_prfl,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:31
arc_crm_ent_prfl,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:32
arc_fr_smry_extrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:34
arc_fr_smry_extrct_tmp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:36
arc_fr_smry_mdl,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:37
arc_fr_txn_all_cnst,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:39
arc_fr_txn_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:41
arc_fr_txn_bnchmrk_extrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:43
arc_fr_txn_del,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:44
arc_fr_txn_extrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:46
arc_fr_txn_tst,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:48
arc_fundrsng_summary,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:49
arc_glossary,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:51
arc_lob_smry_extrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:53
arc_lob_smry_extrct_oct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:55
arc_lob_smry_non_fr_extrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:56
arc_missing_script_numbers,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:58
arc_phss_recert_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:02:59
arc_phss_recert_txn_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:01
arc_phss_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:03
arc_phss_smry_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:05
arc_phss_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:06
arc_phss_txn_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:08
arc_simio_rfm_assets_appends,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:10
arc_tag_extrct_bridge,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:11
arc_tag_extrct_bridge_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:13
arc_tag_non_fr_extrct_bridge,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:15
arc_tag_non_fr_extrct_bridge_bkp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:16
arc_tag_non_fr_extrct_bridge_tmp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:18
arc_vms_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:20
arc_vms_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:21
area_code_2_time_zone,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:23
awb_cdi_mstr_mrg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:26
awb_dmail_xtrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:28
awb_dntn_xtrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:29
awb_rcpnt_2_cdi_mstr,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:31
awb_rcpnt_2_cdi_mstr_xtrct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:33
bzfc_active_cnst_multi_snpsht,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:35
bzfc_active_cnst_segmnt,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:37
bzfc_active_cnst_snpsht,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:39
bzfc_adb_recipient_insrt_delta,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:41
bzfc_adb_recipient_updt_delta,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:43
bzfc_bio_dnr_segment_dashbrd,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:44
bzfc_cnst_cdi_phss_email_prfl,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:46
bzfc_cnst_fr_prfr_em_prfl,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:48
bzfc_fact_dmail_interaction,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:49
bzfc_fact_donation,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:52
bzfc_fact_interaction,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:54
bzfc_fact_interaction_all,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:56
bzfc_fact_intrctn_em_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:57
bzfc_fact_phone_interaction,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:03:59
bzfc_fact_response_all,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:00
bzfc_fact_response_new,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:02
bzfc_pg_response_log,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:05
bzfc_pg_response_log_ref,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:07
bzfc_phss_lrnr_list_membrshp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:08
bzfc_sms_fr_prfl,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:10
bzfc_sms_profile,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:11
bzfc_sponsor_journey_detail,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:13
bzfc_sponsor_journey_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:15
bzf_cem_cnst_opt_outs_copy,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:17
bzf_cem_cnst_opt_outs_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:18
bzf_cnst_cdi_sltn_id_1,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:21
bzf_cnst_cdi_sltn_id_2,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:23
bzf_cnst_cdi_sltn_id_3,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:24
bzf_cnst_cdi_sltn_id_4,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:26
bzf_cnst_cdi_sltn_id_5,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:28
bzf_cnst_cdi_sltn_id_all,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:29
bzf_cnst_cdi_sltn_id_bk,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:31
bzf_cnst_scr,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:34
bz_adobe_analytics_rcb_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:39
bz_adobe_analytics_rco_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:41
bz_adobe_analytics_ts_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:43
bz_arcpg_response_typ,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:44
bz_arc_fr_smry_atg_first_tm,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:46
bz_arc_fr_smry_rco_first_tm,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:47
bz_arc_fr_smry_rco_last_donat,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:49
bz_arc_fr_smry_rco_last_sustnr_donat,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:04:51
