object_name,schema_name,object_type,error_type,error_message,timestamp
adb_accistbl_contacts,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_accistbl_contacts"" already exists",2025-12-09 20:00:04
adb_arcbitlyreturn,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_arcbitlyreturn"" already exists",2025-12-09 20:00:14
adb_arcgms_broadlog,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_arcgms_broadlog"" already exists",2025-12-09 20:00:15
adb_arckaleyradeactivation,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_arckaleyradeactivation"" already exists",2025-12-09 20:00:18
adb_arcprefchangefr,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_arcprefchangefr"" already exists",2025-12-09 20:00:19
adb_arcreportcellcode,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_arcreportcellcode"" already exists",2025-12-09 20:00:22
adb_arctreatmentcode,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_arctreatmentcode"" already exists",2025-12-09 20:00:23
adb_nmsaddress,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsaddress"" already exists",2025-12-09 20:00:28
adb_nmsbroadlogmsg,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsbroadlogmsg"" already exists",2025-12-09 20:00:29
adb_nmsbroadlogrcp,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsbroadlogrcp"" already exists",2025-12-09 20:00:30
adb_nmsdelivery,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsdelivery"" already exists",2025-12-09 20:00:31
adb_nmsexcludelogrcp,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsexcludelogrcp"" already exists",2025-12-09 20:00:33
adb_nmsinsms,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsinsms"" already exists",2025-12-09 20:00:34
adb_nmsoperation,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsoperation"" already exists",2025-12-09 20:00:35
adb_nmsrecipient,mktg_ops_tbls,table,ALREADY_EXISTS,"Relation ""adb_nmsrecipient"" already exists",2025-12-09 20:00:38
