object_name,schema_name,object_type,status,created_timestamp
actvty_vwthrgh,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:22
adb_arcgms_broadlog,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:24
adb_nmsbroadlogrcp,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:25
adb_nmsrecipient,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:27
arc_biomed_txn_ext_staff,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:31
arc_entrprs_smry,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:33
arc_glossary,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:34
arc_phss_smry,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:36
arc_phss_txn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:37
arc_vms_smry,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:38
arc_vms_txn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:40
atg_order_registrants,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:41
atg_registrants,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:43
bzfc_active_cnst_segmnt,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:44
bzfc_active_cnst_snpsht,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:46
bzfc_adb_recipient_insrt_delta,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:47
bzfc_adb_recipient_updt_delta,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:49
bzfc_arc_best_smry,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:50
bzfc_cdi_bio_prfr_email_profile,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:51
bzfc_cnst_cdi_fr_prfr_em_prfl,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:53
bzfc_dim_unit_merged,mktg_ops_vws,view,SUCCESS,2025-12-09 13:33:57
