object_name,schema_name,object_type,error_type,error_message,timestamp
arc_biomed_gender_race,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""CREATE"" in context "".arc_biomed_gender_race AS 
-- mktg_ops_vws.arc_biomed_gender_race source



CREATE"", at line 6, column 1
LINE 6: CREATE OR REPLACE VIEW mktg_ops_vws.arc_biomed_gender_race
        ^",2025-12-09 13:33:28
arc_biomed_smry,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-09 13:33:29
arc_biomed_txn,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-09 13:33:30
bzfc_cnst_cdi_phss_email_prfl,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-09 13:33:54
bzfc_cnst_fr_prfr_flags,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".bzfc_cnst_fr_prfr_flags AS 
-- mktg_ops_vws.bzfc_cnst_fr_prfr_flags source







create"", at line 10, column 1
LINE 10: create or replace view 
         ^",2025-12-09 13:33:55
bzfc_comnictn_src,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-09 13:33:56
bzfc_fr_cnst_in_blood_region,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".bzfc_fr_cnst_in_blood_region AS 
-- mktg_ops_vws.bzfc_fr_cnst_in_blood_region source

/* View mktg_ops_vws.bzfc_fr_cnst_in_blood_region  */

create"", at line 6, column 1
LINE 6: create or REPLACE VIEW
        ^",2025-12-09 13:34:14
bzfc_fsa_cnst_indv_chrctrs2,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".bzfc_fsa_cnst_indv_chrctrs2 AS 
-- mktg_ops_vws.bzfc_fsa_cnst_indv_chrctrs2 source



create"", at line 6, column 1
LINE 6: create or REPLACE VIEW 
        ^",2025-12-09 13:34:17
bzfc_fsa_cnst_org_chrctrs2,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".bzfc_fsa_cnst_org_chrctrs2 AS 
-- mktg_ops_vws.bzfc_fsa_cnst_org_chrctrs2 source



create"", at line 6, column 1
LINE 6: create or REPLACE VIEW 
        ^",2025-12-09 13:34:19
bzfc_fsa_cnst_org_cntct_prefc,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".bzfc_fsa_cnst_org_cntct_prefc AS 
-- mktg_ops_vws.bzfc_fsa_cnst_org_cntct_prefc source



/* **************************mktg_ops_vws.bzfc_fsa_cnst_org_cntct_prefc sql************************** */

create"", at line 8, column 1
LINE 8: create or REPLACE VIEW 
        ^",2025-12-09 13:34:20
bzfc_prospect_pt_scr_fin,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".bzfc_prospect_pt_scr_fin AS 
-- mktg_ops_vws.bzfc_prospect_pt_scr_fin source



create"", at line 6, column 1
LINE 6: create or REPLACE VIEW
        ^",2025-12-09 13:34:26
bzfc_prospect_pt_scr_nonfin,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".bzfc_prospect_pt_scr_nonfin AS 
-- mktg_ops_vws.bzfc_prospect_pt_scr_nonfin source



create"", at line 6, column 1
LINE 6: create or REPLACE VIEW
        ^",2025-12-09 13:34:27
bzfc_sms_bio_prfl,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""CREATE"" in context "".bzfc_sms_bio_prfl AS 
--drop view mktg_ops_vws.bzfc_sms_bio_prfl;

CREATE"", at line 4, column 1
LINE 4: CREATE OR REPLACE VIEW mktg_ops_vws.bzfc_sms_bio_prfl
        ^",2025-12-09 13:34:28
bzf_cem_cnst_opt_outs,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation bzf_cem_cnst_opt_outs,2025-12-09 13:34:48
bzf_cnst_chrctrstc_simio,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""CREATE"" in context "".bzf_cnst_chrctrstc_simio AS 
-- drop view mktg_ops_vws.bzf_cnst_chrctrstc_simio



CREATE"", at line 6, column 1
LINE 6: CREATE OR REPLACE VIEW mods_bi.mktg_ops_vws.bzf_cnst_chrctrs...
        ^",2025-12-09 13:34:53
