object_name,schema_name,object_type,status,error_message,timestamp
ld_arc_phss_smry,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:31
ld_arc_vms_smry,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:32
ld_arc_vms_txn,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:34
ld_bzfc_active_cnst_multi_snpsht,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:35
ld_bzfc_active_cnst_snpsht,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:36
ld_bzfc_adb_recipient_updt_delta,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:38
ld_bzfc_bio_dnr_segmnt_dashbrd,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:39
ld_bzfc_cnst_cdi_phss_em_prfl,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:40
ld_bzfc_fact_dmail_intrctn_norm,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:42
ld_bzfc_fact_intrctn_em_smry,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:43
ld_bzfc_fact_phone_interaction,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:44
ld_bzfc_fact_response_all,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:46
ld_bzfc_fact_response_new,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:47
ld_bzfc_pg_response_log,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:49
ld_bzfc_phss_lrnr_list_mbrshp,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:50
ld_bzfc_sms_fr_prfl,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:51
ld_bzfc_sms_profile,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:53
ld_bzf_cnst_cdi_sltn_id,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:54
ld_bzl_cnst_mstr_fsa_in_primry,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:56
ld_bz_arc_fr_smry_atg_first_tm,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:57
ld_bz_arc_fr_smry_rco_first_tm,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:11:58
ld_bz_arc_fr_smry_rco_last_donat,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:00
ld_bz_arc_fr_smry_rco_last_sustnr_donat,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:01
ld_bz_cnst_birth_best,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:03
ld_bz_dim_cnst_demographic,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:04
ld_bz_dim_rpt_cell_cd,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:05
ld_bz_dim_treatmnt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:07
ld_bz_email_src_cd,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:08
ld_bz_fact_response_pg,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:10
ld_bz_gms_arc_fr_txn_segmnt,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:11
ld_bz_google_analytics_txn,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:12
ld_bz_srvy_rgnl_ldrshp,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:14
ld_cnst_cdi_arc_biomed_smry,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:15
ld_cnst_cdi_arc_biomed_txn,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:16
ld_cnst_cdi_bio_preferred_dmail,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:18
ld_cnst_cdi_phss_preferred_dmail,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:19
ld_cnst_cdi_phss_preferred_email,mktg_ops_tbls,procedure,DROPPED,,2025-12-19 14:12:20
