object_name,schema_name,object_type,status,error_message,timestamp
adb_anlytc_hit_tgt_tst,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:23
adb_anlytc_hit_tgt_xtrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:24
adb_arcinsms_report_intermediate,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:26
adb_arcregionchaptermapping,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:27
adb_bio_dnr_stsfctn_srvy,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:28
adb_enumrtn_lkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:30
adb_nmspropositionrcp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:31
adb_vlntr_srvy_rspns,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:33
adb_vlntr_srvy_rspns_tmp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:34
adb_vlntr_srvy_rspns_v20,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:35
adobe_analytics_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:37
adobe_analytics_visits,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:38
adobe_dwb_intrctn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:40
adobe_dwb_intrctn_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:41
adobe_dwb_intrctn_stg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:43
adobe_dwb_intrctn_stg_tmp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:44
adobe_dwb_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:46
adobe_dwb_txn_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:47
adobe_dwb_txn_stg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:48
agent,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:50
all_aem_rco_rows,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:51
aprm_arc_comm_log,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:52
aprm_audmem_map,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:54
aprm_bncd_eml_img,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:55
aprm_email_bncd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:57
aprm_email_lnk_clkd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:58
aprm_email_lnk_clkd_img,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:55:59
aprm_email_opened,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:01
aprm_email_opened_img,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:02
aprm_email_remove,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:03
aprm_email_remove_img,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:05
aprm_email_sent,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:06
aprm_email_sent_img,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:07
aprm_msg_cnt_blk_img,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:09
aprm_msg_content_block,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:10
aprm_wb_apnd_bncd_eml,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:12
aprm_wb_apnd_cell_cds,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:13
aprm_wb_apnd_cm_segmnt,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:15
aprm_wb_apnd_email,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:16
aprm_wb_apnd_eml_trckng,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:17
aprm_wb_apnd_eml_trckng_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:19
aprm_wb_apnd_inbnd_frm_cmpltd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:20
aprm_wb_apnd_mcrst_mtrcs,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:22
aprm_wb_apnd_outbnd_msgs,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:23
aprm_wb_apnd_outbnd_msg_snt,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:24
aprm_wb_apnd_prfrnc_cntr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:26
aprm_wb_apnd_rmv_frm_lst,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:27
aprm_wb_apnd_segmntn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:28
aprm_wb_apnd_treatmnts,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:30
arc_aem_rco_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:31
arc_biomed_smry_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:33
arc_biomed_txn_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:34
arc_biomed_txn_ext_staff,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:35
arc_biomed_txn_ext_staff_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:37
arc_cdi_smry_addr_tmp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:38
arc_cdi_smry_email_tmp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:39
arc_cdi_smry_extrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:42
arc_cdi_smry_phn_tmp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:43
arc_crm_ent_infrd_prfl,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:44
arc_crm_ent_prfl,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:46
arc_fr_smry_extrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:48
arc_fr_smry_extrct_tmp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:49
arc_fr_smry_mdl,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:51
arc_fr_txn_all_cnst,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:52
arc_fr_txn_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:53
arc_fr_txn_bnchmrk_extrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:55
arc_fr_txn_del,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:56
arc_fr_txn_extrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:58
arc_fr_txn_tst,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:56:59
arc_fundrsng_summary,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:00
arc_glossary,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:02
arc_lob_smry_extrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:03
arc_lob_smry_extrct_oct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:04
arc_lob_smry_non_fr_extrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:06
arc_missing_script_numbers,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:07
arc_phss_recert_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:08
arc_phss_recert_txn_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:10
arc_phss_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:12
arc_phss_smry_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:13
arc_phss_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:14
arc_phss_txn_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:16
arc_simio_rfm_assets_appends,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:17
arc_tag_extrct_bridge,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:19
arc_tag_extrct_bridge_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:20
arc_tag_non_fr_extrct_bridge,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:21
arc_tag_non_fr_extrct_bridge_bkp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:23
arc_tag_non_fr_extrct_bridge_tmp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:24
arc_vms_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:26
arc_vms_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:27
area_code_2_time_zone,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:28
awb_cdi_mstr_mrg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:30
awb_dmail_xtrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:31
awb_dntn_xtrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:32
awb_rcpnt_2_cdi_mstr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:34
awb_rcpnt_2_cdi_mstr_xtrct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:35
bio_dnr_srvy_donat_key_map,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:37
bzfc_active_cnst_multi_snpsht,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:38
bzfc_active_cnst_segmnt,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:39
bzfc_active_cnst_snpsht,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:41
bzfc_adb_recipient_insrt_delta,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:43
bzfc_adb_recipient_updt_delta,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:44
bzfc_bio_dnr_segment_dashbrd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:45
bzfc_cnst_cdi_phss_email_prfl,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:47
bzfc_cnst_fr_prfr_em_prfl,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:48
bzfc_fact_dmail_interaction,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:50
bzfc_fact_donation,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:51
bzfc_fact_interaction,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:52
bzfc_fact_interaction_all,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:54
bzfc_fact_intrctn_em_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:55
bzfc_fact_phone_interaction,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:56
bzfc_fact_response_all,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:58
bzfc_fact_response_new,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:57:59
bzfc_fact_surv_resp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:00
bzfc_pg_response_log,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:02
bzfc_pg_response_log_ref,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:03
bzfc_phss_lrnr_list_membrshp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:05
bzfc_sms_fr_prfl,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:06
bzfc_sms_profile,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:08
bzfc_sponsor_journey_detail,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:09
bzfc_sponsor_journey_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:10
bzf_cem_cnst_opt_outs_copy,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:12
bzf_cem_cnst_opt_outs_stg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:13
bzf_cnst_cdi_sltn_id_1,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:15
bzf_cnst_cdi_sltn_id_2,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:16
bzf_cnst_cdi_sltn_id_3,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:17
bzf_cnst_cdi_sltn_id_4,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:19
bzf_cnst_cdi_sltn_id_5,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:20
bzf_cnst_cdi_sltn_id_all,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:21
bzf_cnst_cdi_sltn_id_bk,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:23
bzf_cnst_scr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:24
bz_adobe_analytics_rcb_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:26
bz_adobe_analytics_rco_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:27
bz_adobe_analytics_ts_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:29
bz_arcpg_response_typ,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:30
bz_arc_fr_smry_atg_first_tm,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:32
bz_arc_fr_smry_rco_first_tm,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:33
bz_arc_fr_smry_rco_last_donat,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:34
bz_arc_fr_smry_rco_last_sustnr_donat,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:36
bz_cnst_birth_best,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:37
bz_cnst_gender_best,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:39
bz_cur_mth_bio_donor_freq,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:40
bz_cur_mth_bio_donor_freq2,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:41
bz_dim_cnst_demographic,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:43
bz_dim_rpt_cell_cd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:45
bz_dim_treatmnt,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:46
bz_email_src_cd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:47
bz_fact_interaction_pg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:49
bz_fact_response_pg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:50
bz_gms_arc_fr_txn_segmnt,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:51
bz_google_analytics_txn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:53
bz_pg_group_membrshp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:54
campgn_prospct_list,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:56
campgn_yr_end_dow_projctn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:57
chptr_list_membrshp,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:58:58
chptr_portal_list_typ_ref,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:00
cnst_addr_ncoa_log,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:01
cnst_cdi_phss_preferred_dmail,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:02
cnst_cdi_smry_bio_prfr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:04
cnst_cdi_smry_non_fr_prfr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:05
cnst_cdi_smry_phss_prfr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:07
cnst_cdi_smry_phss_prfr_stg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:08
cnst_cdi_smry_vms_prfr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:09
cnst_cdi_smry_vms_prfr_stg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:11
cnst_cdi_s_f_p_fr_email,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:12
cnst_cdi_vms_preferred_dmail,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:14
cnst_cdi_vms_preferred_email,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:15
cnst_scr_acct,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:17
cnvo_reactivation_list,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:18
dim_bio_donat_freq,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:20
dim_dm_src_treatmnt_xref,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:21
dim_edrtl_response_period,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:22
dim_email_segmnt,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:24
dim_odr,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:25
dim_online_channel,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:26
dim_phone_adtnl_reqst,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:28
dim_phone_call_dspstn,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:29
dim_phone_campgn_src_cd_xref,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:31
dim_region_rsmo,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:32
dim_src_2_intrctn_brdg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:33
dm_campaign_hist,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:35
dm_campaign_pg_hist,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:36
dv_active_segmnt_snapsht,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:38
dv_arc_bio_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:39
dv_arc_entrprs_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:41
dv_arc_fr_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:42
dv_arc_phss_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:43
dv_arc_vms_smry,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:45
dv_channel_accessibility_stg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:46
dv_de_accessblty_lifestg,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:47
dv_de_scorcrd_campgns,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:49
dv_digtl_engmnt_scorcrd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:50
email_src_cd,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:51
esri_blockgroup_demgrphc,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:53
esri_zip_cd_demgrphc,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:54
fact_interaction_bb,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:55
fact_phone_interaction,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:57
fact_response_aprm,mktg_ops_tbls,table,DROPPED,,2025-12-19 13:59:58
fact_vol_applctn,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:00
fact_vs_surv_resp,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:01
final_mobile_common_opt_out,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:02
fix_site_vol_recruit,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:04
fresh_address_email_append,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:06
global_suprs_cnst_email,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:07
global_suprs_domain,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:09
global_suprs_email,mktg_ops_tbls,table,DROPPED,,2025-12-19 14:00:10
