object_name,schema_name,object_type,status,validation_status,validation_error,created_timestamp
adb_accistbl_contacts_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:58:52
adb_anlytc_hit,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:58:55
adb_anlytc_hit_stg,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:58:59
adb_anlytc_hit_tgt,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:03
adb_arcbitlyreturn_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:08
adb_arcgms_broadlog_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:12
adb_arcinsms_report_intermediate,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:17
adb_arckaleyradeactivation_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:20
adb_arcprefchangefr_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:25
adb_arcregionchaptermapping,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:30
adb_arcreportcellcode_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:36
adb_arctreatmentcode_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:40
adb_enumrtn_lkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:48
adb_nmsaddress_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:52
adb_nmsbroadlogmsg_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 18:59:57
adb_nmsbroadlogrcp_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:02
adb_nmsexcludelogrcp_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:10
adb_nmsinsms_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:14
adb_nmsoperation_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:19
adb_nmspropositionrcp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:22
adb_nmsservice_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:28
adb_nmssubscription_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:32
adb_nmstrackinglogrcp_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:35
adb_nmstrackingurl_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:41
adb_nmsuseragent_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:44
adb_nmswebapplogrcp_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:00:53
adb_vlntr_srvy_rspns,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:01
adb_vlntr_srvy_rspns_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:06
adb_vlntr_srvy_rspns_v20,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:11
adb_xtkfolder_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:16
adb_xtkworkflow_b401072026,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:19
adobe_analytics_txn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:23
adobe_analytics_visits,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:28
adobe_dwb_intrctn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:32
adobe_dwb_intrctn_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:36
adobe_dwb_intrctn_stg,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:40
adobe_dwb_intrctn_stg_tmp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:44
adobe_dwb_txn,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:47
adobe_dwb_txn_bkp,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:51
adobe_dwb_txn_stg,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:54
agent,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:01:58
all_aem_rco_rows,mktg_ops_tbls,table,SUCCESS,VALIDATED_OK,,2026-01-15 19:02:02
