object_name,schema_name,object_type,reason
adb_accistbl_contacts,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_arcbitlyreturn,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_arcgms_broadlog,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_arckaleyradeactivation,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_arcprefchangefr,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_arcreportcellcode,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_arctreatmentcode,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsaddress,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsbroadlogmsg,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsbroadlogrcp,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsdelivery,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsexcludelogrcp,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsinsms,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsoperation,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsrecipient,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsservice,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmssubscription,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmstrackinglogrcp,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmstrackingurl,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmsuseragent,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmswebapp,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmswebapplogrcp,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_nmswebapplogrcpdata,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_xtkfolder,mktg_ops_tbls,table,Excluded via target DB exclusion table
adb_xtkworkflow,mktg_ops_tbls,table,Excluded via target DB exclusion table
aprm_email_bncd,mktg_ops_tbls,table,Excluded via target DB exclusion table
aprm_email_lnk_clkd,mktg_ops_tbls,table,Excluded via target DB exclusion table
aprm_email_opened,mktg_ops_tbls,table,Excluded via target DB exclusion table
aprm_email_sent,mktg_ops_tbls,table,Excluded via target DB exclusion table
bzfc_fact_dmail_interaction,mktg_ops_tbls,table,Excluded via target DB exclusion table
bzfc_fact_interaction_all,mktg_ops_tbls,table,Excluded via target DB exclusion table
bzfc_fact_phone_interaction,mktg_ops_tbls,table,Excluded via target DB exclusion table
bzf_cnst_scr,mktg_ops_tbls,table,Excluded via target DB exclusion table
campgn_yr_end_dow_projctn,mktg_ops_tbls,table,Excluded via target DB exclusion table
dim_bio_mstr_cust_appnd,mktg_ops_tbls,table,Excluded via target DB exclusion table
dm_campaign_hist,mktg_ops_tbls,table,Excluded via target DB exclusion table
dm_campaign_pg_hist,mktg_ops_tbls,table,Excluded via target DB exclusion table
fact_interaction_bb,mktg_ops_tbls,table,Excluded via target DB exclusion table
fact_interaction_ff,mktg_ops_tbls,table,Excluded via target DB exclusion table
fact_response_aprm,mktg_ops_tbls,table,Excluded via target DB exclusion table
global_suprs_domain,mktg_ops_tbls,table,Excluded via target DB exclusion table
global_suprs_email,mktg_ops_tbls,table,Excluded via target DB exclusion table
lkp_positions_taxonomy_mktg_stg,mktg_ops_tbls,table,Excluded via target DB exclusion table
mktg_sky_dates,mktg_ops_tbls,table,Excluded via target DB exclusion table
mktg_snapsht_load_cntl,mktg_ops_tbls,table,Excluded via target DB exclusion table
pbi_sales_pricing_budget,mktg_ops_tbls,table,Excluded via target DB exclusion table
rr_rqq_rql_file_xref,mktg_ops_tbls,table,Excluded via target DB exclusion table
