object_name,schema_name,object_type,status,validation_status,validation_error,created_timestamp
actvty_vwthrgh,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""data_lab_mktg_tbls.gs_viewthrough"" does not exist",2025-12-19 13:05:45
adb_arcgms_broadlog,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:05:46
adb_nmsbroadlogrcp,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:05:48
adb_nmsrecipient,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:05:49
arc_biomed_gender_race,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation cnst_cdi_smry_bio_prfr,2025-12-19 13:05:51
arc_biomed_txn_ext_staff,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:05:54
arc_entrprs_smry,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_arc_fr_smry"" does not exist",2025-12-19 13:05:55
arc_glossary,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:05:57
arc_phss_smry,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:05:58
arc_phss_txn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:00
arc_vms_smry,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:01
arc_vms_txn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:02
atg_order_registrants,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:04
atg_registrants,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:05
bzfc_active_cnst_segmnt,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:07
bzfc_active_cnst_snpsht,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:08
bzfc_adb_recipient_insrt_delta,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:10
bzfc_adb_recipient_updt_delta,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:11
bzfc_arc_best_smry,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:13
bzfc_cdi_bio_prfr_email_profile,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation cnst_cdi_smry_bio_prfr,2025-12-19 13:06:14
bzfc_cnst_cdi_fr_prfr_em_prfl,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:15
bzfc_cnst_fr_prfr_flags,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_cnst_cdi_smry_fr_prfr"" does not exist",2025-12-19 13:06:18
bzfc_comnictn_src,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:19
bzfc_dim_unit_merged,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:20
bzfc_email_append,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:22
bzfc_fact_dmail_interaction,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:23
bzfc_fact_dmail_intrctn_norm,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation bzfc_fact_dmail_intrctn_norm,2025-12-19 13:06:25
bzfc_fact_email_interaction,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:26
bzfc_fact_interaction,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation fact_interaction_aprm,2025-12-19 13:06:27
bzfc_fact_interaction_all,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:29
bzfc_fact_interaction_em_smry,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:30
bzfc_fact_phone_interaction,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation pg_src_convrsn,2025-12-19 13:06:32
bzfc_fact_phone_interaction_pg,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation dim_calendar,2025-12-19 13:06:34
bzfc_fact_response_all,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:36
bzfc_fact_sms_interaction,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.bzfc_fact_sms_interaction"" does not exist",2025-12-19 13:06:37
bzfc_fr_cnst_in_blood_region,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_cnst_cdi_smry_fr_prfr"" does not exist",2025-12-19 13:06:38
bzfc_fsa_ask,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""ddcoe_vws.bzfc_fsa_ask"" does not exist",2025-12-19 13:06:40
bzfc_fsa_cnst_indv_chrctrs2,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""ddcoe_vws.bzf_cnst_fsa_chrctrstc2"" does not exist",2025-12-19 13:06:41
bzfc_fsa_cnst_indv_cntct_prefc,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""ddcoe_vws.bzf_cnst_fsa_cntct_prefc"" does not exist",2025-12-19 13:06:43
bzfc_fsa_cnst_org_chrctrs2,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""ddcoe_vws.bzf_cnst_fsa_chrctrstc2"" does not exist",2025-12-19 13:06:44
bzfc_fsa_cnst_org_cntct_prefc,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""ddcoe_vws.bzf_cnst_fsa_cntct_prefc"" does not exist",2025-12-19 13:06:46
bzfc_pg_response_log,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:49
bzfc_pg_response_log_ref,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:06:51
bzfc_phone_append,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation pacific_east_phone_append,2025-12-19 13:06:53
bzfc_prospect_pt_scr_fin,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""data_lab_mktg_tbls.prospect_pt_scr_fin"" does not exist",2025-12-19 13:06:54
