object_name,schema_name,object_type,error_type,error_message,timestamp
arc_biomed_smry,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:05:52
arc_biomed_txn,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:05:53
bzfc_cnst_cdi_phss_email_prfl,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:06:16
bzf_cem_cnst_opt_outs,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation bzf_cem_cnst_opt_outs,2025-12-19 13:07:22
bz_adb_arcbitlyreturn,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:38
bz_adb_arcprefchangefr,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:40
bz_adb_arcreportcellcode,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:41
bz_adb_arctreatmentcode,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:43
bz_adb_nmsaddress,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:46
bz_adb_nmsbroadlogmsg,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:47
bz_adb_nmsinsms,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:54
bz_adb_nmsrecipient,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:55
bz_adb_nmsservice,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:56
bz_adb_nmssubscription,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:57
bz_adb_nmstrackinglogrcp,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:07:59
bz_adb_nmsuseragent,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:08:01
bz_adb_nmswebapplogrcp,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:08:04
bz_adb_nmswebapplogrcpdata,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:08:05
bz_arc_fr_smry_rco_smry,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""CREATE"" in context "".bz_arc_fr_smry_rco_smry AS 
----------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------------------		bz_arc_fr_smry_rco_smry	--------------------------------------------------------------------

-----------------------------------------------------------------------------------------------------------------------------------",2025-12-19 13:08:25
bz_dim_unit,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation bz_dim_unit,2025-12-19 13:09:06
bz_geo_zip_code_to_chapter,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation bz_geo_zip_code_to_chapter,2025-12-19 13:09:11
bz_grp_mbrshp,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation bz_grp_mbrshp,2025-12-19 13:09:14
bz_pg_src_convrsn,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation bz_pg_src_convrsn,2025-12-19 13:09:22
cnst_cdi_bio_preferred_dmail,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:09:33
cnst_cdi_bio_preferred_email,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:09:35
cnst_cdi_smry_bio_prfr,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation cnst_cdi_smry_bio_prfr,2025-12-19 13:09:38
dim_calendar,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation dim_calendar,2025-12-19 13:09:56
dim_gl_acct,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""CREATE"" in context "".dim_gl_acct AS 
CREATE"", at line 2, column 1
LINE 2: CREATE OR REPLACE  VIEW  mktg_ops_vws.dim_gl_acct  AS
        ^",2025-12-19 13:09:58
dim_state,mktg_ops_vws,view,SYNTAX_ERROR,"syntax error at or near ""create"" in context "".dim_state AS 
create"", at line 2, column 1
LINE 2: create or REPLACE  VIEW mktg_ops_vws.dim_state  
        ^",2025-12-19 13:10:09
dim_unit,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation dim_unit,2025-12-19 13:10:10
dim_unit_merged,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation dim_unit_merged,2025-12-19 13:10:11
gmpbz_dim_dntn_chan,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation gmpbz_dim_dntn_chan,2025-12-19 13:10:43
gmpbz_dim_giftran,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation gmpbz_dim_giftran,2025-12-19 13:10:47
pbi_sales_pricing_budget,mktg_ops_vws,view,OTHER_ERROR,Cannot replace a normal view with a late binding view,2025-12-19 13:11:51
prodct_distrbtn_bdgt,mktg_ops_vws,view,PERMISSION_ERROR,must be owner of relation prodct_distrbtn_bdgt,2025-12-19 13:11:56
total_allusers_storedprocslist,mktg_ops_vws,view,OTHER_ERROR,All the relation names inside should be qualified when creating VIEW WITH NO SCHEMA BINDING.,2025-12-19 13:13:00
total_allusers_tblvwslist,mktg_ops_vws,view,OTHER_ERROR,All the relation names inside should be qualified when creating VIEW WITH NO SCHEMA BINDING.,2025-12-19 13:13:01
total_svcacct_tblvwslist,mktg_ops_vws,view,OTHER_ERROR,All the relation names inside should be qualified when creating VIEW WITH NO SCHEMA BINDING.,2025-12-19 13:13:02
