object_name,schema_name,object_type,status,error_message,timestamp
actvty_vwthrgh,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:15
adb_arcgms_broadlog,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:17
adb_nmsbroadlogrcp,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:18
adb_nmsrecipient,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:20
arc_biomed_gender_race,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:21
arc_biomed_txn_ext_staff,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:22
arc_entrprs_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:27
arc_glossary,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:31
arc_phss_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:33
arc_phss_txn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:34
arc_vms_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:36
arc_vms_txn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:37
atg_order_registrants,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:39
atg_registrants,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:40
bzfc_active_cnst_segmnt,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:41
bzfc_active_cnst_snpsht,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:43
bzfc_adb_recipient_insrt_delta,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:47
bzfc_adb_recipient_updt_delta,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:54
bzfc_arc_best_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:55
bzfc_cdi_bio_prfr_email_profile,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:57
bzfc_cnst_cdi_fr_prfr_em_prfl,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:58
bzfc_cnst_fr_prfr_flags,mktg_ops_vws,view,DROPPED,,2025-12-19 13:47:59
bzfc_comnictn_src,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:01
bzfc_dim_unit_merged,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:02
bzfc_email_append,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:03
bzfc_fact_dmail_interaction,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:05
bzfc_fact_dmail_intrctn_norm,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:06
bzfc_fact_email_interaction,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:07
bzfc_fact_interaction,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:09
bzfc_fact_interaction_all,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:10
bzfc_fact_interaction_em_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:12
bzfc_fact_phone_interaction,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:13
bzfc_fact_phone_interaction_pg,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:14
bzfc_fact_response_all,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:20
bzfc_fact_sms_interaction,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:21
bzfc_fr_cnst_in_blood_region,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:23
bzfc_fsa_ask,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:24
bzfc_fsa_cnst_indv_chrctrs2,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:26
bzfc_fsa_cnst_indv_cntct_prefc,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:27
bzfc_fsa_cnst_org_chrctrs2,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:29
bzfc_fsa_cnst_org_cntct_prefc,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:30
bzfc_pg_response_log,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:31
bzfc_pg_response_log_ref,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:33
bzfc_phone_append,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:35
bzfc_prospect_pt_scr_fin,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:36
bzfc_prospect_pt_scr_nonfin,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:38
bzfc_sms_bio_prfl,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:39
bzfc_sms_fr_prf,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:41
bzfc_sms_fr_prfl,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:42
bzfc_sms_phss_prfl,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:44
bzfc_sms_profile,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:45
bzfc_sms_vms_prfl,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:46
bzfc_sponsor_journey_detail,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:48
bzfc_sponsor_journey_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:49
bzfc_taxo_bio_collection_curr,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:51
bzfc_taxo_humanitarian_curr,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:52
bzfc_taxo_subscr_gplg,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:53
bzfc_trigrd_campgn_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:55
bzfc_vms_cnst_in_blood_region,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:56
bzf_cem_cnst_msg_pref,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:58
bzf_cem_fr_cnst_loc_prefs,mktg_ops_vws,view,DROPPED,,2025-12-19 13:48:59
bzf_cnst_chrctrstc,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:01
bzf_cnst_chrctrstc_arcpg,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:02
bzf_cnst_chrctrstc_simio,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:03
bzf_cnst_scr,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:05
bzf_cnst_scr_simio,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:06
bzf_prospect_pt_scr,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:07
bzl_cnst_fsa_acqstn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:09
bzl_cnst_mstr_fsa_acct_cntct,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:10
bzl_vms_sta_shift_smry,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:11
bz_adb_arcgms_broadlog,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:13
bz_adb_enumrtn_lkp,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:14
bz_adb_nmsbroadlogrcp,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:16
bz_adb_nmsdelivery,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:17
bz_adb_nmsexcludelogrcp,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:18
bz_adb_nmstrackingurl,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:20
bz_adb_nmswebapp,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:21
bz_aprm_email_bncd,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:22
bz_aprm_email_lnk_clkd,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:24
bz_aprm_email_opened,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:26
bz_aprm_email_remove,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:27
bz_aprm_email_sent,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:28
bz_aprm_wb_apnd_prfrnc_cntr,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:30
bz_aprm_wb_apnd_unsubs_rplc,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:31
bz_aprm_wb_rplc_fr_prf_cntr_lt,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:32
bz_arcpg_response_typ,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:34
bz_arc_comm_log,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:35
bz_arc_fr_smry_atg_first_tm,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:37
